Title,Price,Specifications
HP Pavilion Gaming Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX...,"Rs. 54,990",AMD Ryzen 5 Quad Core Processor
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year Onsite Warranty
,,
HP Pavilion Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home/3 GB Graphics/NVIDIA Geforce GTX 1050) ...,"Rs. 54,999",AMD Ryzen 5 Quad Core Processor
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year Onsite Warranty
,,
Lenovo Ideapad 500 Core i5 6th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics/NVIDIA Geforce Nvidi...,"Rs. 55,000",Intel Core i5 Processor (6th Gen)
,,4 GB DDR3 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,35.56 cm (14 inch) Display
,,1 Year Warranty by Lenovo
,,
Acer Nitro 5 Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/3 GB Graphics/NVIDIA Geforce ...,"Rs. 55,790",Intel Core i5 Processor (8th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD|256 GB SSD
,,39.62 cm (15.6 inch) Display
,,1 Year International Travelers Warranty (ITW)
,,
MSI GF Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1050 Ti) GF63...,"Rs. 55,990",60 Hz Refresh Rate- It can display upto 60 frames per second.
,,Intel Core i5 Processor (9th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,2 Years Carry In Warranty
,,
MSI Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 Max Q) GF...,"Rs. 59,990",60 Hz Refresh Rate- It can display upto 60 frames per second.
,,Intel Core i5 Processor (9th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,512 GB SSD
,,39.62 cm (15.6 inch) Display
,,2 Years Limited Warranty
,,
Asus Vivobook 15 Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X510UN-EJ4...,"Rs. 59,999",Intel Core i5 Processor (8th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD|256 GB SSD
,,39.62 cm (15.6 inch) Display
,,One year Warranty
,,
MSI GL Series Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1050) ...,"Rs. 60,990",Intel Core i5 Processor (8th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,2 Years Carry In Warranty
,,
HP Pavilion Gaming Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,"Rs. 60,990",Intel Core i5 Processor (9th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year Onsite Warranty
,,
Acer Nitro 5 Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce ...,"Rs. 62,990",144 Hz Refresh Rate- It can display upto 144 frames per second.
,,Intel Core i5 Processor (9th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD|256 GB SSD
,,43.94 cm (17.3 inch) Display
,,1 Year International Travelers Warranty (ITW)
,,
